"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","hard_hit_percent"
"Aguilar, Jesús",542583,2022,507,109,74,19,0,16,".235",".379",".281","0.660","0.144",".240",".393",".288",".298",".288",".153",".350",".364",".311",".321","-0.005","-0.014","-0.010",36
"Santana, Carlos",467793,2022,506,87,50,18,0,19,".202",".376",".316","0.692","0.174",".253",".438",".308",".352",".361",".185",".308",".372",".252",".318","-0.051","-0.062","-0.044",44.9
"Turner, Trea",607208,2022,708,194,130,39,4,21,".298",".466",".343","0.809","0.168",".276",".432",".350",".335",".327",".156",".406",".387",".368",".348",".022",".034",".015",41.6
"Benintendi, Andrew",643217,2022,521,140,109,23,3,5,".304",".399",".373","0.772","0.095",".273",".407",".342",".334",".347",".134",".361",".351",".360",".326",".031","-0.008",".008",38.7
"Canha, Mark",592192,2022,542,123,86,24,0,13,".266",".403",".367","0.770","0.137",".245",".362",".343",".323",".351",".117",".361",".332",".333",".309",".021",".041",".020",36.6
"Cron, C.J.",543068,2022,632,148,88,28,3,29,".257",".468",".315","0.783","0.211",".243",".435",".335",".320",".305",".192",".428",".406",".356",".340",".014",".033",".015",42.3
"Peña, Jeremy",665161,2022,558,132,88,20,2,22,".253",".426",".289","0.715","0.173",".252",".402",".309",".304",".289",".150",".388",".381",".338",".338",".001",".024",".005",36.7
"Donaldson, Josh",518626,2022,546,106,63,28,0,15,".222",".374",".308","0.682","0.152",".215",".370",".302",".299",".303",".154",".363",".360",".315",".309",".007",".004",".003",43.3
"Grisham, Trent",663757,2022,524,83,48,16,2,17,".184",".341",".284","0.625","0.157",".205",".358",".280",".296",".303",".153",".333",".361",".274",".305","-0.021","-0.017","-0.016",35.5
"Kim, Ha-Seong",673490,2022,582,130,87,29,3,11,".251",".383",".325","0.708","0.132",".250",".368",".313",".309",".324",".119",".335",".330",".309",".307",".001",".015",".004",32.4
"Chapman, Matt",656305,2022,621,123,68,27,1,27,".229",".433",".324","0.757","0.204",".234",".440",".331",".341",".331",".206",".407",".425",".330",".342","-0.005","-0.007","-0.010",51.2
"Schwarber, Kyle",656941,2022,669,126,56,21,3,46,".218",".504",".323","0.827","0.286",".237",".535",".355",".375",".341",".298",".465",".501",".332",".365","-0.019","-0.031","-0.020",54.4
"Profar, Jurickson",595777,2022,658,140,87,36,2,15,".243",".391",".331","0.722","0.148",".251",".359",".320",".315",".340",".108",".330",".323",".295",".306","-0.008",".032",".005",34.3
"Varsho, Daulton",662139,2022,592,125,72,23,3,27,".235",".443",".302","0.745","0.208",".213",".389",".323",".298",".285",".175",".392",".355",".320",".294",".022",".054",".025",35.6
"McNeil, Jeff",643446,2022,589,174,125,39,1,9,".326",".454",".382","0.836","0.128",".280",".389",".365",".323",".341",".109",".377",".325",".365",".314",".046",".065",".042",30.2
"Hoskins, Rhys",656555,2022,672,145,80,33,2,30,".246",".462",".332","0.794","0.216",".239",".445",".345",".338",".327",".207",".419",".408",".342",".333",".007",".017",".007",44.3
"Mullins II, Cedric",656775,2022,672,157,105,32,4,16,".258",".403",".318","0.721","0.145",".232",".349",".315",".288",".297",".117",".355",".318",".322",".293",".026",".054",".027",37.3
"Pollock, AJ",572041,2022,527,120,79,26,1,14,".245",".389",".292","0.681","0.144",".258",".419",".297",".317",".305",".161",".337",".364",".304",".321","-0.013","-0.030","-0.020",42
"Semien, Marcus",543760,2022,724,163,101,31,5,26,".248",".429",".304","0.733","0.181",".243",".394",".317",".306",".301",".151",".348",".333",".298",".295",".005",".035",".011",34.9
"Bellinger, Cody",641355,2022,550,106,57,27,3,19,".210",".389",".265","0.654","0.179",".213",".354",".284",".278",".271",".141",".357",".348",".294",".303","-0.003",".035",".006",38.1
"Freeman, Freddie",518692,2022,708,199,129,47,2,21,".325",".511",".407","0.918","0.186",".313",".538",".393",".403",".400",".225",".426",".440",".385",".376",".012","-0.027","-0.010",47.8
"Kirk, Alejandro",672386,2022,541,134,101,19,0,14,".285",".415",".372","0.787","0.130",".278",".431",".347",".351",".367",".153",".342",".347",".322",".316",".007","-0.016","-0.004",45.4
"Guerrero Jr., Vladimir",665489,2022,706,175,108,35,0,32,".274",".480",".339","0.819","0.206",".281",".464",".351",".351",".345",".183",".391",".391",".333",".342","-0.007",".016",".000",50.4
"Rojas, Josh",668942,2022,510,119,84,25,1,9,".269",".391",".349","0.740","0.122",".239",".361",".326",".305",".324",".123",".360",".330",".340",".304",".030",".030",".021",36.1
"Martinez, J.D.",502110,2022,596,146,86,43,1,16,".274",".448",".341","0.789","0.174",".260",".471",".343",".349",".330",".211",".420",".429",".372",".355",".014","-0.023","-0.006",41.7
"Yastrzemski, Mike",573262,2022,558,104,54,31,2,17,".214",".392",".305","0.697","0.178",".220",".392",".307",".314",".313",".172",".358",".369",".297",".309","-0.006",".000","-0.007",42.5
