"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Semien, Marcus",543760,2022,724,16.6,7.3,".317",".306",32.4,6.8,34.9,"97.838624343","93.00847117",20.6,47.2
"Pham, Tommy",502054,2022,622,26.8,9,".304",".311",33.2,7.9,48.5,"102.514437436","95.778101436",26,42
"Wisdom, Patrick",621550,2022,534,34.3,9.9,".316",".295",29.8,14.2,46.3,"102.164032394","95.695873993",36.5,48.1
"Bregman, Alex",608324,2022,656,11.7,13.3,".358",".350",36.2,7.3,37.8,"98.378645333","93.364139021",14.9,40.3
"García, Adolis",666969,2022,657,27.9,6.1,".324",".322",36.9,12.9,47.4,"102.368780141","95.786867388",33.5,53.5
"Kim, Ha-Seong",673490,2022,582,17.2,8.8,".313",".309",34,4.2,32.4,"97.647567656","92.869312734",19.1,43.3
"Kwan, Steven",680757,2022,638,9.4,9.7,".341",".312",34.6,1.4,20.8,"94.219058287","91.134248486",9,38.1
"Ramírez, José",608070,2022,685,12,10.1,".363",".320",33.7,6.6,36.9,"98.871944811","93.503434175",15.3,46.3
"Aguilar, Jesús",542583,2022,507,23.5,5.5,".288",".298",39.7,6.9,36,"98.459753543","93.301003066",27,49.5
"Renfroe, Hunter",592669,2022,522,23.2,7.5,".347",".323",32.7,10.9,43.6,"101.645981292","95.173188394",27,47.8
"Rojas, Miguel",500743,2022,507,12,5.1,".268",".289",33.1,1.9,27.1,"96.249960631","92.126001845",15.8,47.9
"Varsho, Daulton",662139,2022,592,24.5,7.8,".323",".298",33.6,10.2,35.6,"99.211725904","93.6867316",25.3,50.6
"McCutchen, Andrew",457705,2022,580,21.4,9.8,".309",".325",36.2,8.6,40,"99.92693269","94.143160838",24.2,44.9
"Díaz, Yandy",650490,2022,558,10.8,14,".366",".365",30.7,4.8,49,"103.107838195","96.208559878",14.3,41.3
"Machado, Manny",592518,2022,644,20.7,9.8,".382",".338",36.7,9.8,49,"102.622706786","95.790495526",24.9,50.8
"Crawford, J.P.",641487,2022,603,13.3,11.3,".306",".315",32.4,2,29.7,"96.663647706","92.35483867",14.3,41.3
"Vaughn, Andrew",683734,2022,555,17.3,5.6,".327",".319",34.1,7.9,48.6,"101.162950291","95.12858284",21,47
"Escobar, Eduardo",500871,2022,542,23.8,7.4,".311",".314",38.7,9.4,37.6,"99.290072903","93.799689784",27.7,52.4
"Merrifield, Whit",593160,2022,550,15.5,6.9,".294",".288",37.9,4.2,31.1,"96.383459857","92.27510481",19.4,50.9
"Benintendi, Andrew",643217,2022,521,14.8,10,".342",".334",39.2,5.1,38.7,"98.21078057","93.391636347",20.7,48.2
"Tellez, Rowdy",642133,2022,599,20.2,10.4,".327",".349",31.4,12.9,46,"102.553838927","95.690567213",23.8,43.5
"Melendez Jr., MJ",669004,2022,534,24.5,12.4,".310",".332",31,10.4,43.5,"100.595888323","94.716383713",27.8,44.6
"Brown, Seth",664913,2022,555,26.3,9.2,".323",".338",34.9,13,41.4,"101.723429266","95.001222068",29.6,48.3
