"abrev_team_name","team_name","ballpark","left_field","center_field","right_field","min_wall_height","max_wall_height","hr_park_effects","extra_distance","avg_temp","elevation","roof","daytime","last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","hard_hit_percent","league_name"
"ATL","Atlanta Braves","Truist Park",335,400,325,11,15,99,1.8,79.2,1001,0,0.31,"Olson, Matt",621566,2022,699,148,70,44,0,34,0.24,0.477,0.325,0.802,0.237,0.248,0.467,0.344,0.347,0.334,0.219,0.417,0.422,0.329,0.343,-0.008,0.01,-0.003,50.9,"NL"
"ATL","Atlanta Braves","Truist Park",335,400,325,11,15,99,1.8,79.2,1001,0,0.31,"Riley, Austin",663586,2022,693,168,89,39,2,38,0.273,0.528,0.349,0.877,0.255,0.271,0.531,0.377,0.378,0.349,0.26,0.465,0.468,0.373,0.372,0.002,-0.003,-0.001,50.8,"NL"
"ATL","Atlanta Braves","Truist Park",335,400,325,11,15,99,1.8,79.2,1001,0,0.31,"Swanson, Dansby",621020,2022,696,177,119,32,1,25,0.277,0.447,0.329,0.776,0.17,0.257,0.461,0.337,0.337,0.314,0.204,0.431,0.43,0.383,0.36,0.02,-0.014,0,46.3,"NL"
"ATL","Atlanta Braves","Truist Park",335,400,325,11,15,99,1.8,79.2,1001,0,0.31,"Acuña Jr., Ronald",660670,2022,533,124,85,24,0,15,0.266,0.413,0.351,0.764,0.147,0.272,0.486,0.335,0.366,0.358,0.214,0.397,0.444,0.36,0.371,-0.006,-0.073,-0.031,49.7,"NL"
"ATL","Atlanta Braves","Truist Park",335,400,325,11,15,99,1.8,79.2,1001,0,0.31,"Ozuna, Marcell",542303,2022,507,106,64,19,0,23,0.226,0.413,0.274,0.687,0.187,0.253,0.475,0.298,0.334,0.3,0.222,0.364,0.417,0.301,0.339,-0.027,-0.062,-0.036,43.8,"NL"
"AZ","Arizona Diamondbacks","Chase Field",328,407,335,7.6,25,84,13.2,80.8,1086,0.81,0.31,"Varsho, Daulton",662139,2022,592,125,72,23,3,27,0.235,0.443,0.302,0.745,0.208,0.213,0.389,0.323,0.298,0.285,0.175,0.392,0.355,0.32,0.294,0.022,0.054,0.025,35.6,"NL"
"AZ","Arizona Diamondbacks","Chase Field",328,407,335,7.6,25,84,13.2,80.8,1086,0.81,0.31,"Rojas, Josh",668942,2022,510,119,84,25,1,9,0.269,0.391,0.349,0.74,0.122,0.239,0.361,0.326,0.305,0.324,0.123,0.36,0.33,0.34,0.304,0.03,0.03,0.021,36.1,"NL"
"AZ","Arizona Diamondbacks","Chase Field",328,407,335,7.6,25,84,13.2,80.8,1086,0.81,0.31,"Walker, Christian",572233,2022,667,141,78,25,2,36,0.242,0.477,0.327,0.804,0.235,0.257,0.484,0.346,0.359,0.343,0.227,0.388,0.407,0.307,0.331,-0.015,-0.007,-0.013,44,"NL"
"AZ","Arizona Diamondbacks","Chase Field",328,407,335,7.6,25,84,13.2,80.8,1086,0.81,0.31,"Marte, Ketel",606466,2022,558,118,62,42,2,12,0.24,0.407,0.321,0.728,0.167,0.251,0.377,0.317,0.315,0.333,0.126,0.343,0.341,0.298,0.315,-0.011,0.03,0.002,41.9,"NL"
"BAL","Baltimore Orioles","Oriole Park at Camden Yards",333,400,318,7,21,107,-0.5,76.4,33,0,0.35,"Aguilar, Jesús",542583,2022,507,109,74,19,0,16,0.235,0.379,0.281,0.66,0.144,0.24,0.393,0.288,0.298,0.288,0.153,0.35,0.364,0.311,0.321,-0.005,-0.014,-0.01,36,"AL"
"BAL","Baltimore Orioles","Oriole Park at Camden Yards",333,400,318,7,21,107,-0.5,76.4,33,0,0.35,"Mullins II, Cedric",656775,2022,672,157,105,32,4,16,0.258,0.403,0.318,0.721,0.145,0.232,0.349,0.315,0.288,0.297,0.117,0.355,0.318,0.322,0.293,0.026,0.054,0.027,37.3,"AL"
"BAL","Baltimore Orioles","Oriole Park at Camden Yards",333,400,318,7,21,107,-0.5,76.4,33,0,0.35,"Mateo, Jorge",622761,2022,533,109,64,25,7,13,0.221,0.379,0.267,0.646,0.158,0.222,0.344,0.281,0.272,0.269,0.122,0.362,0.348,0.312,0.315,-0.001,0.035,0.009,32.7,"AL"
"BAL","Baltimore Orioles","Oriole Park at Camden Yards",333,400,318,7,21,107,-0.5,76.4,33,0,0.35,"Santander, Anthony",623993,2022,647,138,81,24,0,33,0.24,0.455,0.318,0.773,0.215,0.257,0.471,0.336,0.352,0.335,0.214,0.373,0.395,0.302,0.325,-0.017,-0.016,-0.016,43.3,"AL"
"BAL","Baltimore Orioles","Oriole Park at Camden Yards",333,400,318,7,21,107,-0.5,76.4,33,0,0.35,"Hays, Austin",669720,2022,582,134,81,35,2,16,0.25,0.413,0.306,0.719,0.163,0.24,0.372,0.314,0.298,0.298,0.132,0.359,0.337,0.316,0.306,0.01,0.041,0.016,37.7,"AL"
"BAL","Baltimore Orioles","Oriole Park at Camden Yards",333,400,318,7,21,107,-0.5,76.4,33,0,0.35,"Mountcastle, Ryan",663624,2022,609,139,88,28,1,22,0.25,0.423,0.305,0.728,0.173,0.277,0.509,0.316,0.362,0.332,0.232,0.393,0.463,0.341,0.381,-0.027,-0.086,-0.046,46.3,"AL"
"BOS","Boston Red Sox","Fenway Park",310,420,302,3,37,102,-4.7,69.5,21,0,0.31,"Martinez, J.D.",502110,2022,596,146,86,43,1,16,0.274,0.448,0.341,0.789,0.174,0.26,0.471,0.343,0.349,0.33,0.211,0.42,0.429,0.372,0.355,0.014,-0.023,-0.006,41.7,"AL"
"BOS","Boston Red Sox","Fenway Park",310,420,302,3,37,102,-4.7,69.5,21,0,0.31,"Verdugo, Alex",657077,2022,644,166,115,39,1,11,0.28,0.405,0.328,0.733,0.125,0.278,0.428,0.319,0.329,0.327,0.151,0.342,0.353,0.324,0.323,0.002,-0.023,-0.01,38.2,"AL"
"BOS","Boston Red Sox","Fenway Park",310,420,302,3,37,102,-4.7,69.5,21,0,0.31,"Devers, Rafael",646240,2022,614,164,94,42,1,27,0.295,0.521,0.358,0.879,0.226,0.282,0.497,0.373,0.361,0.348,0.215,0.436,0.42,0.369,0.355,0.013,0.024,0.012,50.9,"AL"
"BOS","Boston Red Sox","Fenway Park",310,420,302,3,37,102,-4.7,69.5,21,0,0.31,"Pham, Tommy",502054,2022,622,131,90,23,1,17,0.236,0.374,0.312,0.686,0.138,0.238,0.383,0.304,0.311,0.315,0.145,0.371,0.383,0.334,0.34,-0.002,-0.009,-0.007,48.5,"AL"
